Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-12-11 16:18:31.331845,San Francisco Crime 15 classes,878049,1,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,642.0207149251364,19.919161686876244,22.089541699836797,22.089541699836797,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 16:29:15.372621,San Francisco Crime 15 classes,878049,2,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,644.0064288810827,19.919161686876244,22.09455280969513,22.09455280969513,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 16:40:02.008950,San Francisco Crime 15 classes,878049,3,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,646.6019100851845,19.919161686876244,22.10070280815763,22.10070280815763,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 16:50:40.668201,San Francisco Crime 15 classes,878049,4,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,638.6321658100933,19.919161686876244,22.104575029411798,22.104575029411798,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 17:01:13.797773,San Francisco Crime 15 classes,878049,5,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,633.1022314890288,19.919161686876244,22.102297252203464,22.102297252203464,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,51.3333333333
2017-12-11 17:11:45.025672,San Francisco Crime 15 classes,878049,6,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,631.2003102907911,19.919161686876244,22.094438920834715,22.094438920834715,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 17:22:20.725421,San Francisco Crime 15 classes,878049,7,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,635.671904010931,19.919161686876244,22.105030584853466,22.105030584853466,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 17:32:58.572667,San Francisco Crime 15 classes,878049,8,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,637.8200535941869,19.919161686876244,22.094325031974297,22.094325031974297,0,0.0,10.0,10,10,0,12.3333333333,15,11,5.0,5,5,50.6666666667
2017-12-11 17:43:27.337960,San Francisco Crime 15 classes,878049,9,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,628.7380312720779,19.919161686876244,22.0970583646243,22.0970583646243,0,0.0,10.0,10,10,0,13.0,17,11,5.0,5,5,50.0
2017-12-11 17:54:01.794712,San Francisco Crime 15 classes,878049,10,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,634.4286398061085,19.919161686876244,22.10423336283055,22.10423336283055,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 18:04:39.229261,San Francisco Crime 15 classes,878049,11,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,637.4070974020287,19.919161686876244,22.100588919297216,22.100588919297216,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 18:15:18.497798,San Francisco Crime 15 classes,878049,12,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,639.2409025710076,19.919161686876244,22.065283372568047,22.065283372568047,0,0.0,10.0,10,10,0,11.6666666667,13,11,5.0,5,5,51.3333333333
2017-12-11 18:26:04.456446,San Francisco Crime 15 classes,878049,13,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,645.9309207780752,19.919161686876244,22.07815281379513,22.07815281379513,0,0.0,10.0,10,10,0,12.3333333333,15,11,5.0,5,5,50.6666666667
2017-12-11 18:36:47.353251,San Francisco Crime 15 classes,878049,14,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,642.86942094611,19.919161686876244,22.095122253997214,22.095122253997214,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 18:47:27.242348,San Francisco Crime 15 classes,878049,15,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,639.861729996046,19.919161686876244,22.09113614388263,22.09113614388263,0,0.0,10.0,10,10,0,13.0,17,11,5.0,5,5,50.0
2017-12-11 18:58:06.609645,San Francisco Crime 15 classes,878049,16,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,639.3395788630005,19.919161686876244,22.093527809951382,22.093527809951382,0,0.0,10.0,10,10,0,13.0,17,11,5.0,5,5,50.0
2017-12-11 19:08:46.416066,San Francisco Crime 15 classes,878049,17,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,639.7792541370727,19.919161686876244,22.102411141063882,22.102411141063882,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 19:19:21.022453,San Francisco Crime 15 classes,878049,18,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,634.5788310631178,19.919161686876244,22.09523614285763,22.09523614285763,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 19:30:00.802680,San Francisco Crime 15 classes,878049,19,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,639.7523404180538,19.919161686876244,22.103663918528465,22.103663918528465,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 19:40:33.725802,San Francisco Crime 15 classes,878049,20,Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,632.8948092460632,19.919161686876244,22.098197253228463,22.098197253228463,0,0.0,10.0,10,10,0,14.3333333333,21,11,5.0,5,5,48.6666666667
2017-12-11 19:41:14.335248,San Francisco Crime 15 classes,878049,1,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,40.582120118895546,19.919161686876244,21.20576414300341,21.20576414300341,0,0.0,10.0,10,10,0,12.3333333333,15,11,5.0,5,5,50.6666666667
2017-12-11 19:41:54.795141,San Francisco Crime 15 classes,878049,2,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,40.433854155940935,19.919161686876244,21.23514746899091,21.23514746899091,0,0.0,10.0,10,10,0,5.66666666667,11,3,2.33333333333,5,1,57.3333333333
2017-12-11 19:42:35.211806,San Francisco Crime 15 classes,878049,3,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,40.39277224405669,19.919161686876244,21.22728913762216,21.22728913762216,0,0.0,10.0,10,10,0,11.0,11,11,5.0,5,5,52.0
2017-12-11 19:43:15.728930,San Francisco Crime 15 classes,878049,4,LS Squared Gini,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,40.49066026788205,19.919161686876244,21.232983580642994,21.232983580642994,0,0.0,10.0,10,10,0,5.66666666667,11,3,2.33333333333,5,1,57.3333333333
